bibtex_key,company_name,hq_city
NDI_Recognition_Systems,NDI Recognition Systems,Bathgate
Calient,Calient,Goleta
RFEL,RFEL,Newport
Electrosonic,Electrosonic,Dartford
FFT_Security,FFT Security,Melbourne
Forensic-Pathways,Forensic Pathways,Tamworth
Terrogence,Terrogence,Bney Zion
EXFO,EXFO,Quebec
360-Vision,360 Vision,Runcorn
WCCTV,WCCTV,Garland
HGH_Systems,HGH Systems,Igny
AST-Systems,AST-Systems,Eastleigh
Arithmetica,Arithmetica,Shepperton
Ansur,Ansur,Oslo
Total_Secure_Automation,Total Secure Automation,Bolton
Terrafix,Terrafix,Stoke-on-Trent
Image_Sensing_Systems,Image Sensing Systems,St Paul
Proteus,Proteus,Warsaw
IPL,IPL,Bath
Winkelmann,Winkelmann,Haywards Heath
Objectivity,Objectivity,San Jose
Cogent,Cogent,Pasadena
Radio_Tactics,Radio Tactics,Southampton
Chronos_Technology,Chronos Technology,Lydbrook
DigitalRF,DigitalRF,Chelmsford
Schomandl,Schomandl,Grassau
Deveryware,Deveryware,Paris
KeySee_Software,KeySee Software,Kfar-Sirkin
Elexo,Elexo,Boulogne
L-3_Linkabit,L-3 Linkabit,San Diego
Tamara_Electronics,Tamara Electronics,Istanbul
Arpege,Arpege,Marseille
TracIP,TracIP,Messein
Amecs,Amecs,Mulhouse
Cyveillance,Cyveillance,Reston
Evidence_Talks,Evidence Talks,Milton Keynes
SEQTOR,SEQTOR,Grenaa
Freight_Watch,Freight Watch,Austin
Digital-Barriers,Digital Barriers,London
QCC,QCC,Bath
Cassidian,Cassidian,Unterschleissheim
PV_Labs,PV Labs,Wilmington
Human_Recognition_Systems,Human Recognition Systems,Liverpool
ELSAG,ELSAG,Brewster
A.i.Solve,A.i.Solve,Luton
Morpho,Morpho,Paris
Ockham_Solutions,Ockham Solutions,Paris
CommsAudit,CommsAudit,Gloucestershire
Berkeley_Varitronics_Systems,Berkeley Varitronics Systems,Metuchen
Elektron,Elektron,Paris
Oculus,Oculus,Toronto
Simena,Simena,Sterling
Guidance_Software,Guidance Software,Pasadena
3M_Services,3M Services,Hannover
6WIND,6WIND,Montigny-le-Bretonneux
Aappro,Aappro,London
Ability,Ability,Tel Aviv
Access_Data,Access Data,Lindon
Accuris_Networks,Accuris Networks,Dublin
Acme_Packet,Acme Packet,Bedford
Aculab,Aculab,Milton Keynes
Adaptive_Mobile,Adaptive Mobile,Dublin
Adax,Adax,Oakland
Advanced_Systems,Advanced Systems,Dubai
AdvancedIO,AdvancedIO,Vancouver
Agnitio,Agnitio,Madrid
AGT-International,AGT International,Zurich
Al_Fahad_Smart_Systems,Al Fahad Smart Systems,Abu Dhabi
Alarm,Alarm,Gutersloh
Alcatel-Lucent,Alcatel-Lucent,Paris
Allot,Allot,Valbonne
Altron,Altron,Kharkov
Amdocs,Amdocs,Chesterfield
Amesys,Amesys,Aix-en-Provence
Andrew_Network_Solutions,Andrew Network Solutions,Hickory
Aqsacom,Aqsacom,Les Ulis
Area,Area,Como
ASOTO,ASOTO,Bogota
ATCI,ATCI,Chandler
ATIS-Systems,ATIS Systems,Bad Homburg
Audiotel_International,Audiotel International,London
Autonomy,Autonomy,Cambridge
BAE-Systems,BAE Systems,London
BEA,BEA,Turin
Belkasoft,Belkasoft,St Petersburg
Bivio,Bivio,Pleasanton
Blue-Coat,Blue Coat,Sunnyvale
Brightplanet,Brightplanet,Sioux Falls
Broadsoft,Broadsoft,Gaithersburg
Brocade,Brocade,San Jose
BTT_Bilgi_Teknoloji_Tasarim,BTT Bilgi Teknoloji Tasarim,Ankara
Bull_Group,Bull Group,Les Clayes-sous-Bois
Cambridge_Consultants,Cambridge Consultants,Cambridge
Cecratech,Cecratech,Nynashamn
Cellebrite,Cellebrite,Petah Tikva
CEM4Mobile,CEM4Mobile,Espoo
Checkpoint-Software,Checkpoint Software,Tel Aviv
Cisco_Systems,Cisco Systems,San Jose
ClearTrail,ClearTrail,Indore
Cloudshield_Technologies,Cloudshield Technologies,Sunnyvale
Cobham,Cobham,Dorset
Comstrac,Comstrac,London
Comverse,Comverse,Wakefield
CopperEye,CopperEye,Bristol
Creativity-Software,Creativity Software,Kingston-upon-Thames
CRFS,CRFS,Cambridge
Crypton-M,Crypton-M,Kiev
CSC,CSC,Falls Church
Cubic,Cubic,San Diego
Datakom,Datakom,Ismaning
Datong,Datong,Leeds
Defentek,Defentek,New York
Delma-MSS,Delma MSS,Alresford
Delta,Delta,Kiev
Detica,Detica,Guildford
Dialogic,Dialogic,Milpitas
DIGINT,DIGINT,Garbagnate Milanese
DigiTask,DigiTask,Haiger
DigiVox-B.V.,DigiVox B.V.,Rotterdam
Dreamlab_Technologies,Dreamlab Technologies,Bern
EBS_Electronic,EBS Electronic,Grobenzell
Elaman,Elaman,Munich
Elcomsoft,Elcomsoft,Moscow
Elkat,Elkat,Tel Aviv
Elta-Systems,Elta Systems,Ashdod
EMC,EMC,Hopkinton
Endace,Endace,Auckland
Endgame_Systems,Endgame Systems,Atlanta
ERA_IT_Solutions,ERA IT Solutions,Domat/Ems
Ericsson,Ericsson,Stockholm
Eskan,Eskan,Greenford
ETI-AS,ETI AS,Sundby
ETSI,ETSI,Antipolis
Evidian,Evidian,Les Clayes-sous-Bois
Expert_System_Semantic_Intelligence,Expert System Semantic Intelligence,Modena
Ezzy_Enterprise,Ezzy Enterprise,Dhaka
Forensic-Telecommunications-Services,Forensic Telecommunications Services,Sevenoaks
Fox-IT,Fox-IT,Delft
Gamma_Group,Gamma Group,Andover
General_Dynamics,General Dynamics,Falls Church
Geonautics_International,Geonautics International,Brisbane
Gita_Technologies,Gita Technologies,Rosh-HaAyin
GIZA_Systems,GIZA Systems,Cairo
Glimmerglass,Glimmerglass,Hayward
Griff_Comm,Griff Comm,Powys
Group_2000,Group 2000,Almelo
GTEN,GTEN,Ismaning
Hacking_Team,Hacking Team,Milan
Harris,Harris,Melbourne
Hewlett-Packard,Hewlett-Packard,Palo Alto
Hidden_Technology_Systems_International,Hidden Technology Systems International,Essex
Hisilicon_Technologies,Hisilicon Technologies,Shenzhen
Huawei,Huawei,Shenzhen
i2,i2,McLean
Ineoquest_Technologies,Ineoquest Technologies,Mansfield
Inforcept_Networks,Inforcept Networks,Istanbul
Innova,Innova,Trieste
Intelligentias,Intelligentias,Redwood City
Invea-Tech,Invea-Tech,Brno
IP_Fabrics,IP Fabrics,Beaverton
Ipoque,Ipoque,Leipzig
IPS,IPS,Aprilia
